age,education,balance,housing,loan,campaign,previous,poutcome,label
30,primary,1787,no,no,1,0,unknown,0
33,secondary,4789,yes,yes,1,4,failure,0
35,tertiary,1350,yes,no,1,1,failure,0
30,tertiary,1476,yes,yes,4,0,unknown,0
59,secondary,0,yes,no,1,0,unknown,0
35,tertiary,747,no,no,2,3,failure,0
36,tertiary,307,yes,no,1,2,other,0
39,secondary,147,yes,no,2,0,unknown,0
41,tertiary,221,yes,no,2,0,unknown,0
43,primary,-88,yes,yes,1,2,failure,0
39,secondary,9374,yes,no,1,0,unknown,0
43,secondary,264,yes,no,2,0,unknown,0
36,tertiary,1109,no,no,2,0,unknown,0
20,secondary,502,no,no,1,0,unknown,1
31,secondary,360,yes,yes,1,1,failure,0
40,tertiary,194,no,yes,2,0,unknown,0
56,secondary,4073,no,no,5,0,unknown,0
37,tertiary,2317,yes,no,1,2,failure,0
25,primary,-221,yes,no,1,0,unknown,0
31,secondary,132,no,no,1,1,other,0
38,unknown,0,yes,no,2,0,unknown,0
42,tertiary,16,no,no,3,0,unknown,0
44,secondary,106,no,no,2,0,unknown,0
44,secondary,93,no,no,2,0,unknown,0
26,tertiary,543,no,no,3,0,unknown,0
41,tertiary,5883,no,no,2,0,unknown,0
55,primary,627,yes,no,1,0,unknown,0
67,unknown,696,no,no,1,2,failure,0
56,secondary,784,no,yes,2,0,unknown,0
53,secondary,105,no,yes,2,0,unknown,0
68,secondary,4189,no,no,2,0,unknown,1
31,secondary,171,no,no,3,0,unknown,0
59,secondary,42,no,no,1,0,unknown,0
32,tertiary,2536,yes,no,6,0,unknown,1
49,tertiary,1235,no,no,3,0,unknown,1
42,secondary,1811,yes,no,1,0,unknown,0
78,primary,229,no,no,1,0,unknown,1
32,secondary,2089,yes,no,1,0,unknown,1
33,secondary,3935,yes,no,1,2,failure,1
23,tertiary,363,yes,no,18,0,unknown,0
38,tertiary,11971,yes,no,2,3,failure,0
36,tertiary,553,no,no,2,0,unknown,0
52,secondary,1117,yes,no,1,0,unknown,0
32,tertiary,396,yes,no,3,0,unknown,0
32,tertiary,2204,yes,no,4,0,unknown,0
34,tertiary,872,yes,no,2,0,unknown,0
55,primary,145,no,no,3,2,other,0
26,primary,0,yes,no,1,0,unknown,0
32,primary,-849,yes,yes,1,0,unknown,0
61,unknown,4629,yes,no,1,1,success,1
45,primary,844,no,no,3,0,unknown,1
37,secondary,228,yes,no,2,0,unknown,0
38,secondary,50,no,no,2,0,unknown,0
34,tertiary,1539,yes,no,1,1,other,1
53,secondary,2231,yes,no,3,0,unknown,0
48,secondary,3064,yes,no,2,0,unknown,0
57,secondary,82,no,yes,1,0,unknown,0
33,tertiary,2155,no,no,1,0,unknown,0
36,secondary,101,yes,yes,1,0,unknown,0
54,secondary,784,yes,yes,1,0,unknown,0
41,primary,-516,no,yes,3,0,unknown,0
63,secondary,415,yes,no,1,0,unknown,0
48,tertiary,5887,no,no,2,0,unknown,0
48,secondary,1355,no,no,2,0,unknown,0
56,secondary,16873,no,no,1,0,unknown,0
51,secondary,203,yes,no,1,5,failure,0
31,secondary,338,yes,no,1,0,unknown,0
29,secondary,444,yes,no,4,0,unknown,0
41,secondary,0,no,yes,3,0,unknown,0
32,tertiary,360,no,no,2,0,unknown,0
37,tertiary,0,no,no,2,3,success,1
42,tertiary,2,yes,no,1,0,unknown,0
31,tertiary,6248,yes,no,2,0,unknown,0
41,tertiary,412,yes,no,5,0,unknown,0
56,secondary,344,yes,no,1,0,unknown,0
54,tertiary,3222,no,no,2,0,unknown,0
41,secondary,174,yes,no,2,1,other,0
40,secondary,591,no,yes,6,0,unknown,0
50,primary,388,no,no,1,0,unknown,0
40,secondary,219,yes,no,2,1,failure,0
27,secondary,451,yes,no,1,0,unknown,1
60,primary,5,no,no,2,0,unknown,0
28,secondary,177,yes,yes,1,0,unknown,0
52,secondary,657,no,no,2,2,failure,1
37,tertiary,1315,no,no,1,0,unknown,1
51,primary,1466,yes,no,2,0,unknown,0
41,secondary,879,no,yes,4,0,unknown,0
35,primary,293,yes,no,2,0,unknown,0
38,secondary,424,yes,no,1,0,unknown,0
34,secondary,1831,yes,no,2,0,unknown,0
39,primary,111,no,no,2,0,unknown,0
34,primary,455,yes,no,3,0,unknown,0
27,secondary,-195,yes,no,1,0,unknown,1
32,tertiary,3616,no,no,2,0,unknown,0
57,secondary,14093,no,no,5,0,unknown,0
41,tertiary,1567,no,no,2,0,unknown,0
41,tertiary,5426,yes,no,2,0,unknown,0
30,tertiary,261,no,no,1,20,failure,0
36,secondary,2843,no,no,1,1,success,0
31,primary,406,no,no,1,0,unknown,1
36,secondary,0,yes,no,1,0,unknown,0
38,tertiary,493,yes,no,1,7,failure,0
49,secondary,5996,no,no,2,0,unknown,0
57,primary,3777,yes,no,2,0,unknown,0
34,secondary,524,no,no,1,0,unknown,0
32,tertiary,574,yes,no,2,3,failure,0
37,secondary,427,yes,yes,3,0,unknown,0
33,tertiary,483,yes,no,2,0,unknown,0
56,primary,3391,no,no,1,0,unknown,1
27,primary,0,yes,no,3,0,unknown,0
21,secondary,2488,no,no,6,3,success,1
58,tertiary,1517,yes,no,5,0,unknown,0
32,secondary,217,yes,yes,5,0,unknown,0
33,secondary,22,no,no,2,1,failure,0
25,secondary,331,no,no,4,0,unknown,1
25,secondary,505,no,yes,2,0,unknown,1
30,secondary,1808,yes,no,2,0,unknown,0
22,secondary,4111,no,yes,1,0,unknown,0
39,primary,52,no,no,1,0,unknown,0
46,tertiary,25,no,no,2,0,unknown,0
31,secondary,1890,yes,no,1,0,unknown,0
45,primary,419,no,no,4,0,unknown,0
32,secondary,2693,yes,no,1,0,unknown,0
36,secondary,-231,no,yes,2,0,unknown,0
51,tertiary,-55,yes,no,2,6,failure,0
34,tertiary,462,no,no,3,0,unknown,1
24,secondary,119,no,no,1,0,unknown,0
45,secondary,586,no,yes,3,0,unknown,0
32,secondary,228,no,no,1,3,failure,0
77,tertiary,4659,no,no,1,0,unknown,1
41,primary,168,yes,no,3,0,unknown,0
37,primary,0,yes,no,1,0,unknown,0
43,unknown,-715,yes,no,3,0,unknown,0
