age,education,balance,housing,loan,campaign,previous,poutcome,label
47,secondary,691,no,no,6,0,unknown,0
34,secondary,0,no,no,2,0,unknown,0
33,tertiary,99,no,no,1,0,unknown,0
58,secondary,502,yes,no,2,3,failure,0
51,tertiary,-15,no,no,2,0,unknown,0
45,tertiary,1929,yes,no,15,0,unknown,0
55,secondary,0,no,no,2,3,success,0
30,primary,185,no,no,1,0,unknown,0
33,secondary,-424,yes,no,1,0,unknown,0
27,secondary,0,yes,no,7,0,unknown,0
59,secondary,319,yes,no,3,0,unknown,0
34,tertiary,171,yes,no,1,1,failure,0
47,tertiary,-1148,yes,yes,2,0,unknown,0
44,primary,-11,yes,no,1,0,unknown,0
35,secondary,0,yes,no,1,0,unknown,1
45,tertiary,-206,yes,no,2,0,unknown,0
42,primary,704,yes,yes,10,0,unknown,0
38,secondary,1931,no,no,1,10,other,0
34,secondary,943,no,no,4,0,unknown,0
35,secondary,327,yes,no,3,0,unknown,0
29,secondary,-105,yes,no,3,0,unknown,0
58,secondary,983,no,no,1,0,unknown,0
44,primary,787,yes,no,2,0,unknown,0
45,tertiary,0,yes,no,3,0,unknown,0
43,secondary,3060,yes,no,2,0,unknown,0
44,secondary,5780,yes,no,2,0,unknown,0
30,secondary,790,no,no,3,0,unknown,0
38,tertiary,1449,no,no,6,0,unknown,0
50,secondary,1412,no,no,3,0,unknown,0
21,secondary,681,no,no,1,0,unknown,0
38,tertiary,228,yes,no,1,0,unknown,0
42,secondary,0,no,no,1,0,unknown,0
45,tertiary,2087,no,no,14,0,unknown,0
34,secondary,2,yes,yes,1,6,failure,0
48,secondary,197,no,yes,2,3,other,0
34,secondary,0,no,yes,4,0,unknown,0
32,secondary,1905,yes,no,2,0,unknown,1
35,tertiary,118,no,no,2,0,unknown,0
39,tertiary,2644,yes,no,1,0,unknown,0
36,tertiary,16430,yes,no,3,0,unknown,0
35,secondary,13,no,no,2,0,unknown,0
57,secondary,14,no,yes,2,0,unknown,0
28,secondary,769,yes,no,1,2,failure,0
43,unknown,3485,no,no,1,0,unknown,0
57,secondary,139,no,no,1,0,unknown,0
34,secondary,202,yes,no,1,0,unknown,0
36,tertiary,6,yes,no,1,1,failure,0
47,tertiary,2515,no,no,3,0,unknown,0
36,tertiary,5195,yes,no,25,0,unknown,0
33,tertiary,2098,no,no,1,0,unknown,0
57,tertiary,320,no,no,2,0,unknown,0
57,tertiary,3431,yes,no,1,0,unknown,0
34,secondary,50,yes,no,2,0,unknown,0
51,tertiary,370,yes,no,3,0,unknown,0
54,primary,-182,no,no,1,0,unknown,0
52,tertiary,1623,yes,no,17,0,unknown,0
43,tertiary,13342,yes,no,1,0,unknown,0
58,primary,6570,no,no,3,0,unknown,0
53,secondary,225,yes,no,1,1,failure,0
44,secondary,-665,no,no,3,0,unknown,0
29,tertiary,0,no,no,25,0,unknown,0
27,secondary,54,yes,no,2,0,unknown,1
35,primary,46,no,no,3,0,unknown,0
40,secondary,2,no,no,5,0,unknown,0
34,secondary,103,yes,yes,2,0,unknown,0
38,secondary,883,yes,no,1,9,other,0
32,secondary,55,yes,no,9,0,unknown,0
41,secondary,8238,yes,yes,4,0,unknown,0
25,secondary,913,yes,no,4,0,unknown,0
38,secondary,595,yes,no,3,0,unknown,0
26,secondary,7,yes,no,2,0,unknown,0
37,tertiary,1661,no,no,5,0,unknown,0
30,tertiary,102,yes,no,7,3,other,1
36,secondary,338,no,no,1,0,unknown,0
33,secondary,3132,yes,no,5,0,unknown,0
33,tertiary,490,yes,no,1,2,failure,0
35,tertiary,2682,yes,no,1,0,unknown,0
24,tertiary,0,yes,no,1,0,unknown,0
29,secondary,596,no,no,2,0,unknown,0
54,secondary,2059,yes,no,4,0,unknown,0
27,secondary,132,no,no,2,0,unknown,0
34,secondary,0,no,no,1,0,unknown,0
39,primary,385,yes,no,4,0,unknown,0
38,tertiary,223,no,no,1,0,unknown,0
37,tertiary,0,yes,no,13,0,unknown,0
26,secondary,512,yes,yes,5,3,failure,0
36,tertiary,1169,yes,no,2,0,unknown,0
35,tertiary,71,yes,no,12,0,unknown,0
30,tertiary,940,no,no,2,0,unknown,0
25,secondary,-80,yes,yes,1,0,unknown,0
34,secondary,0,yes,no,4,0,unknown,0
52,unknown,1317,no,no,1,0,unknown,0
39,secondary,179,no,no,1,0,unknown,0
34,secondary,1007,yes,no,2,0,unknown,0
34,secondary,0,no,no,4,0,unknown,0
30,secondary,1286,yes,yes,1,0,unknown,0
33,secondary,804,yes,yes,1,0,unknown,0
30,secondary,4,no,no,2,0,unknown,0
51,primary,0,yes,no,1,0,unknown,0
36,secondary,417,yes,no,10,3,failure,0
48,primary,1678,no,no,2,0,unknown,0
37,secondary,532,yes,no,1,0,unknown,0
58,secondary,407,yes,no,2,0,unknown,0
56,tertiary,659,no,yes,1,0,unknown,0
34,secondary,393,yes,no,9,0,unknown,0
33,secondary,661,yes,no,1,2,other,0
26,secondary,0,no,no,23,0,unknown,0
40,unknown,838,yes,no,3,0,unknown,0
35,secondary,195,yes,no,1,0,unknown,0
45,secondary,68,yes,no,1,0,unknown,0
37,secondary,-242,yes,no,6,0,unknown,1
35,tertiary,321,yes,no,1,0,unknown,0
43,secondary,3403,yes,no,2,2,success,1
28,secondary,8,yes,no,1,0,unknown,0
32,secondary,739,yes,no,1,0,unknown,0
26,secondary,622,no,no,2,0,unknown,1
35,secondary,152,yes,no,1,0,unknown,1
35,secondary,2,no,no,4,0,unknown,0
39,secondary,1439,yes,no,6,0,unknown,0
42,secondary,1491,yes,no,2,2,failure,0
32,secondary,6402,yes,no,1,1,success,0
30,secondary,1210,no,no,4,0,unknown,0
26,tertiary,122,no,yes,1,0,unknown,0
30,secondary,0,yes,no,1,0,unknown,0
32,tertiary,62,yes,no,1,0,unknown,0
47,secondary,3333,yes,yes,2,0,unknown,0
33,tertiary,16992,yes,no,1,0,unknown,0
57,primary,23,yes,no,8,0,unknown,0
35,secondary,0,yes,no,2,0,unknown,0
53,tertiary,6072,no,yes,4,0,unknown,0
24,secondary,366,no,yes,2,0,unknown,0
54,tertiary,0,no,yes,1,0,unknown,0
31,tertiary,1343,yes,yes,1,0,unknown,0
41,secondary,2105,yes,no,1,0,unknown,0
44,secondary,2319,no,no,3,0,unknown,0
35,secondary,35,yes,no,1,0,unknown,0
30,tertiary,877,no,no,1,5,failure,0
43,primary,30,yes,no,17,0,unknown,0
51,secondary,-2082,no,yes,6,0,unknown,0
60,secondary,89,no,no,2,0,unknown,0
43,secondary,104,no,no,1,0,unknown,0
31,tertiary,1750,yes,no,3,0,unknown,0
56,primary,772,yes,no,1,0,unknown,0
42,secondary,1048,yes,no,2,0,unknown,0
52,primary,592,no,no,2,0,unknown,0
40,secondary,0,yes,yes,2,1,failure,0
36,secondary,3064,yes,no,4,0,unknown,0
40,primary,33,no,no,3,0,unknown,0
46,secondary,0,yes,no,2,0,unknown,0
32,secondary,1649,no,no,2,0,unknown,0
31,tertiary,287,yes,no,1,0,unknown,0
41,secondary,0,yes,no,2,0,unknown,0
58,primary,419,no,yes,3,0,unknown,0
36,secondary,257,yes,no,2,0,unknown,0
52,secondary,118,no,no,20,0,unknown,0
42,tertiary,251,no,no,2,0,unknown,0
32,tertiary,1731,yes,yes,3,0,unknown,0
62,tertiary,0,no,no,3,0,unknown,0
31,tertiary,23,no,no,3,0,unknown,0
41,secondary,-386,no,yes,1,0,unknown,1
34,tertiary,5498,no,no,1,0,unknown,0
44,tertiary,5063,no,no,2,0,unknown,1
42,primary,7041,yes,no,4,0,unknown,0
37,secondary,654,no,no,2,0,unknown,0
47,tertiary,1890,no,no,1,0,unknown,0
32,secondary,2400,yes,yes,3,0,unknown,0
46,secondary,519,yes,no,6,0,unknown,0
39,tertiary,1190,no,no,1,0,unknown,0
28,secondary,229,yes,no,1,0,unknown,0
26,secondary,203,no,no,1,1,failure,0
52,secondary,1818,no,yes,2,4,failure,0
42,secondary,1289,no,no,4,2,failure,1
33,tertiary,39,no,no,5,0,unknown,0
73,primary,796,no,no,1,2,failure,1
35,secondary,57,no,yes,2,0,unknown,0
40,tertiary,1548,yes,no,3,0,unknown,0
51,secondary,117,no,no,2,4,other,1
37,secondary,0,yes,no,2,0,unknown,0
39,tertiary,691,yes,yes,1,1,failure,0
28,secondary,64,yes,no,3,0,unknown,0
49,tertiary,0,yes,no,3,0,unknown,0
36,secondary,957,yes,no,1,0,unknown,0
45,secondary,118,yes,no,2,0,unknown,0
29,tertiary,218,yes,no,1,0,unknown,0
35,secondary,724,yes,no,2,1,failure,1
35,tertiary,20,yes,yes,3,0,unknown,0
30,secondary,-28,yes,no,2,1,failure,0
46,primary,665,no,no,4,2,failure,0
25,tertiary,5,no,no,1,0,unknown,0
36,tertiary,925,no,no,3,4,success,1
42,primary,2519,yes,no,4,0,unknown,0
57,secondary,3927,no,no,1,0,unknown,0
42,tertiary,401,yes,no,9,0,unknown,0
29,tertiary,581,yes,yes,2,0,unknown,0
36,tertiary,1327,no,no,2,0,unknown,0
31,secondary,3242,no,no,2,0,unknown,0
59,primary,3163,yes,no,2,0,unknown,0
50,secondary,32,no,no,2,0,unknown,0
47,secondary,310,yes,yes,6,0,unknown,0
46,primary,0,no,no,1,0,unknown,0
26,primary,155,yes,no,1,4,failure,0
31,secondary,11386,yes,no,1,0,unknown,0
30,tertiary,1380,yes,no,2,0,unknown,0
47,unknown,2443,no,no,1,0,unknown,0
23,tertiary,1129,yes,no,1,0,unknown,1
44,primary,4232,no,no,1,0,unknown,0
42,secondary,5564,no,no,2,0,unknown,0
32,secondary,-402,yes,no,1,0,unknown,0
28,secondary,1323,yes,no,1,0,unknown,0
57,primary,1623,yes,yes,1,0,unknown,0
38,tertiary,1042,yes,no,2,0,unknown,0
22,secondary,2488,no,no,2,10,other,1
54,secondary,865,yes,no,1,0,unknown,0
32,tertiary,-1053,yes,no,3,0,unknown,0
32,tertiary,1667,yes,no,2,3,failure,0
59,secondary,975,yes,no,4,0,unknown,0
45,secondary,2571,no,no,2,0,unknown,0
53,primary,732,no,no,2,0,unknown,1
50,secondary,769,no,no,2,4,failure,0
34,secondary,-136,yes,yes,2,0,unknown,0
35,secondary,3636,no,yes,2,0,unknown,1
30,tertiary,931,no,no,1,0,unknown,0
62,secondary,565,no,no,3,0,unknown,0
40,secondary,271,yes,no,2,0,unknown,0
26,tertiary,1153,no,no,3,0,unknown,0
34,tertiary,-73,yes,no,1,0,unknown,0
50,unknown,558,no,no,1,6,failure,1
31,tertiary,137,no,no,9,0,unknown,0
35,secondary,700,yes,no,2,0,unknown,0
55,primary,-966,no,yes,1,0,unknown,0
34,secondary,96,no,no,2,0,unknown,0
58,primary,4007,no,no,4,0,unknown,0
50,tertiary,567,yes,no,8,0,unknown,0
31,secondary,40,no,no,2,0,unknown,0
47,secondary,136,no,yes,1,0,unknown,0
38,tertiary,917,yes,no,1,0,unknown,0
46,tertiary,593,yes,no,3,0,unknown,0
42,primary,505,yes,no,2,0,unknown,0
34,secondary,2542,yes,no,1,0,unknown,0
37,tertiary,5355,no,no,4,0,unknown,1
38,tertiary,807,no,no,2,0,unknown,0
59,secondary,9976,yes,no,2,0,unknown,0
32,secondary,0,no,no,3,0,unknown,0
55,tertiary,540,no,no,2,0,unknown,0
35,secondary,280,yes,yes,50,0,unknown,0
56,tertiary,-59,no,yes,6,0,unknown,0
27,secondary,-517,yes,no,3,0,unknown,0
42,secondary,2613,yes,no,6,0,unknown,0
42,unknown,-7,no,no,6,0,unknown,0
41,primary,0,yes,no,3,0,unknown,0
53,secondary,-200,no,yes,1,0,unknown,0
67,primary,2301,no,no,1,0,unknown,0
53,primary,104,no,yes,1,0,unknown,1
33,primary,191,yes,no,2,0,unknown,0
31,unknown,694,yes,no,2,0,unknown,0
31,secondary,212,yes,no,3,0,unknown,0
30,tertiary,1882,yes,no,5,0,unknown,0
48,unknown,131,yes,no,1,0,unknown,0
30,secondary,175,no,no,4,0,unknown,0
43,tertiary,0,no,no,4,0,unknown,0
38,tertiary,4425,yes,no,1,0,unknown,0
46,secondary,3533,yes,no,2,0,unknown,0
59,secondary,3573,no,no,1,0,unknown,0
44,tertiary,476,yes,yes,2,0,unknown,0
35,secondary,1257,yes,no,3,7,failure,0
55,unknown,23,no,no,1,3,other,0
39,tertiary,0,yes,no,2,0,unknown,0
36,secondary,398,yes,yes,2,0,unknown,0
33,secondary,745,yes,no,4,0,unknown,0
48,tertiary,8106,no,no,1,3,failure,0
33,tertiary,0,no,no,4,0,unknown,0
67,unknown,696,no,no,2,0,unknown,0
48,secondary,1266,yes,no,1,0,unknown,0
57,tertiary,2416,no,no,2,0,unknown,0
31,primary,25,no,no,5,0,unknown,0
30,tertiary,7513,no,no,2,0,unknown,0
56,primary,29,no,no,2,1,failure,0
26,primary,5116,yes,no,3,0,unknown,0
44,secondary,-1746,yes,no,1,0,unknown,0
44,secondary,14,no,no,1,1,success,1
31,tertiary,4148,yes,no,3,9,other,1
47,unknown,14,yes,no,1,0,unknown,0
30,secondary,105,yes,no,1,0,unknown,0
37,tertiary,767,no,yes,1,0,unknown,0
56,primary,0,no,yes,1,0,unknown,0
43,secondary,-228,yes,yes,2,0,unknown,0
42,secondary,508,yes,no,1,0,unknown,0
60,secondary,725,yes,no,1,0,unknown,0
34,unknown,41,yes,no,9,0,unknown,0
34,tertiary,184,no,no,4,0,unknown,0
41,tertiary,251,no,yes,3,0,unknown,0
38,secondary,-17,no,no,4,0,unknown,0
23,secondary,-19,yes,no,10,0,unknown,0
33,tertiary,1064,yes,no,1,0,unknown,1
36,secondary,777,yes,no,3,0,unknown,0
49,tertiary,377,no,no,1,2,failure,0
34,secondary,479,yes,no,1,5,failure,1
40,secondary,-375,yes,no,5,0,unknown,0
72,primary,796,no,no,2,0,unknown,0
43,secondary,17,yes,no,4,0,unknown,0
