Status,Duration,History,Credit amount,Installment rate,Present residence,Age,Existing credits,Number people,label
A14,18.0,A31,1049.0,4.0,4.0,21.0,1.0,2.0,1
A14,9.0,A31,2799.0,2.0,2.0,36.0,2.0,1.0,1
A11,12.0,A30,841.0,2.0,4.0,23.0,1.0,2.0,1
A14,12.0,A31,2122.0,3.0,2.0,39.0,2.0,1.0,1
A14,12.0,A31,2171.0,4.0,4.0,38.0,2.0,2.0,1
A14,10.0,A31,2241.0,1.0,3.0,48.0,2.0,1.0,1
A14,8.0,A31,3398.0,1.0,4.0,39.0,2.0,2.0,1
A14,6.0,A31,1361.0,2.0,4.0,40.0,1.0,1.0,1
A13,18.0,A31,1098.0,4.0,4.0,65.0,2.0,2.0,1
A11,24.0,A30,3758.0,1.0,4.0,23.0,1.0,2.0,1
A14,11.0,A31,3905.0,2.0,2.0,36.0,2.0,1.0,1
A14,30.0,A31,6187.0,1.0,4.0,24.0,2.0,2.0,1
A14,6.0,A31,1957.0,1.0,4.0,31.0,1.0,2.0,1
A11,48.0,A32,7582.0,2.0,4.0,31.0,1.0,2.0,1
A14,18.0,A30,1936.0,2.0,4.0,23.0,2.0,2.0,1
A14,6.0,A30,2647.0,2.0,3.0,44.0,1.0,1.0,1
A14,11.0,A31,3939.0,1.0,2.0,40.0,2.0,1.0,1
A11,18.0,A30,3213.0,1.0,3.0,25.0,1.0,2.0,1
A11,36.0,A31,2337.0,4.0,4.0,36.0,1.0,2.0,1
A13,11.0,A31,7228.0,1.0,4.0,39.0,2.0,2.0,1
A14,6.0,A31,3676.0,1.0,3.0,37.0,3.0,1.0,1
A11,12.0,A31,3124.0,1.0,3.0,49.0,2.0,1.0,1
A11,36.0,A30,2384.0,4.0,1.0,33.0,1.0,2.0,0
A11,12.0,A31,1424.0,4.0,3.0,26.0,1.0,2.0,1
A14,6.0,A31,4716.0,1.0,3.0,44.0,2.0,1.0,1
A11,11.0,A32,4771.0,2.0,4.0,51.0,1.0,2.0,1
A14,12.0,A30,652.0,4.0,4.0,24.0,1.0,2.0,1
A11,9.0,A31,1154.0,2.0,4.0,37.0,3.0,2.0,1
A13,15.0,A30,3556.0,3.0,2.0,29.0,1.0,2.0,1
A12,42.0,A31,4796.0,4.0,4.0,56.0,1.0,2.0,1
A12,30.0,A31,3017.0,4.0,4.0,47.0,1.0,2.0,1
A13,36.0,A31,3535.0,4.0,4.0,37.0,2.0,2.0,1
A13,36.0,A31,6614.0,4.0,4.0,34.0,2.0,2.0,1
A13,24.0,A30,1376.0,4.0,1.0,28.0,1.0,2.0,1
A14,15.0,A30,1721.0,2.0,3.0,36.0,1.0,2.0,1
A14,6.0,A31,860.0,1.0,4.0,39.0,2.0,2.0,1
A13,12.0,A31,1495.0,4.0,1.0,38.0,2.0,1.0,1
A13,12.0,A31,1934.0,2.0,2.0,26.0,2.0,2.0,1
A13,18.0,A30,3378.0,2.0,1.0,31.0,1.0,2.0,1
A13,24.0,A31,3868.0,4.0,2.0,41.0,2.0,2.0,1
A13,12.0,A31,996.0,4.0,4.0,23.0,2.0,2.0,1
A14,24.0,A30,1755.0,4.0,4.0,58.0,1.0,2.0,1
A13,18.0,A31,1028.0,4.0,3.0,36.0,2.0,2.0,1
A11,24.0,A31,2825.0,4.0,3.0,34.0,2.0,1.0,1
A11,18.0,A30,1239.0,4.0,4.0,61.0,1.0,2.0,1
A14,18.0,A30,1216.0,4.0,3.0,23.0,1.0,2.0,0
A13,24.0,A30,1258.0,4.0,1.0,25.0,1.0,2.0,1
A13,18.0,A31,1864.0,4.0,2.0,30.0,2.0,2.0,0
A13,24.0,A30,1474.0,4.0,3.0,33.0,1.0,2.0,1
A14,24.0,A31,1382.0,4.0,1.0,26.0,2.0,2.0,1
A13,12.0,A30,640.0,4.0,2.0,49.0,1.0,2.0,1
A12,36.0,A30,3919.0,2.0,2.0,23.0,1.0,2.0,1
A13,9.0,A31,1224.0,3.0,1.0,30.0,2.0,2.0,1
A13,12.0,A31,2331.0,1.0,4.0,49.0,1.0,2.0,1
A13,24.0,A30,6313.0,3.0,4.0,41.0,1.0,1.0,1
A14,12.0,A31,385.0,4.0,3.0,58.0,4.0,2.0,1
A13,12.0,A31,1655.0,2.0,4.0,63.0,2.0,2.0,1
A14,15.0,A30,1053.0,4.0,2.0,27.0,1.0,2.0,1
A13,21.0,A30,3160.0,4.0,3.0,41.0,1.0,2.0,1
A13,36.0,A30,3079.0,4.0,4.0,36.0,1.0,2.0,1
A13,12.0,A31,1163.0,4.0,4.0,44.0,1.0,2.0,1
A13,24.0,A30,2679.0,4.0,1.0,29.0,1.0,2.0,1
A13,48.0,A31,3578.0,4.0,1.0,47.0,1.0,2.0,1
A13,36.0,A32,10875.0,2.0,2.0,45.0,2.0,1.0,1
A14,12.0,A32,1344.0,4.0,2.0,43.0,2.0,1.0,1
A13,6.0,A31,1237.0,1.0,1.0,27.0,2.0,2.0,1
A13,12.0,A30,3077.0,2.0,4.0,52.0,1.0,2.0,1
A13,24.0,A30,2284.0,4.0,2.0,28.0,1.0,2.0,1
A11,12.0,A30,1567.0,1.0,1.0,22.0,1.0,2.0,1
A13,24.0,A32,2032.0,4.0,4.0,60.0,2.0,2.0,1
A11,21.0,A31,2745.0,3.0,2.0,32.0,2.0,2.0,1
A13,30.0,A30,1867.0,4.0,4.0,58.0,1.0,2.0,1
A13,36.0,A30,2299.0,4.0,4.0,39.0,1.0,2.0,1
A13,24.0,A30,929.0,4.0,2.0,31.0,1.0,2.0,1
A12,12.0,A30,3399.0,2.0,3.0,37.0,1.0,2.0,1
A11,9.0,A30,2030.0,2.0,1.0,24.0,1.0,2.0,1
A13,21.0,A31,3275.0,1.0,4.0,36.0,1.0,2.0,1
A13,24.0,A31,1940.0,4.0,4.0,60.0,1.0,2.0,1
A14,21.0,A31,1602.0,4.0,3.0,30.0,2.0,2.0,1
A13,15.0,A30,1979.0,4.0,2.0,35.0,1.0,2.0,1
A13,24.0,A31,2022.0,4.0,4.0,37.0,1.0,2.0,1
A13,36.0,A31,3342.0,4.0,2.0,51.0,1.0,2.0,1
A11,18.0,A30,5866.0,2.0,2.0,30.0,2.0,2.0,1
A12,15.0,A31,2360.0,2.0,2.0,36.0,1.0,2.0,1
A13,15.0,A31,1520.0,4.0,4.0,63.0,1.0,2.0,1
A14,12.0,A30,3651.0,1.0,3.0,31.0,1.0,1.0,1
A13,24.0,A31,2346.0,4.0,3.0,35.0,2.0,2.0,1
A13,36.0,A32,4454.0,4.0,4.0,34.0,2.0,2.0,1
A14,6.0,A31,666.0,3.0,4.0,39.0,2.0,2.0,1
A11,24.0,A32,1965.0,4.0,4.0,42.0,2.0,2.0,1
A11,12.0,A31,1995.0,4.0,1.0,27.0,1.0,2.0,1
A11,30.0,A30,2991.0,2.0,4.0,25.0,1.0,2.0,1
A11,30.0,A33,4221.0,2.0,1.0,28.0,2.0,2.0,1
A14,9.0,A30,1364.0,3.0,4.0,59.0,1.0,2.0,1
A11,18.0,A31,6361.0,2.0,1.0,41.0,1.0,2.0,1
A13,27.0,A31,4526.0,4.0,2.0,32.0,2.0,1.0,1
A11,12.0,A31,3573.0,1.0,1.0,23.0,1.0,2.0,1
A11,36.0,A32,4455.0,2.0,2.0,30.0,2.0,2.0,0
A14,9.0,A30,2136.0,3.0,2.0,25.0,1.0,2.0,1
