LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,label
20000,24,3913,3102,689,0,0,689,0,0,1
120000,26,2682,1725,2682,3272,0,1000,1000,1000,1
90000,34,29239,14027,13559,14331,1518,1500,1000,1000,0
50000,37,46990,48233,49291,28314,2000,2019,1200,1100,0
50000,57,8617,5670,35835,20940,2000,36681,10000,9000,0
50000,37,64400,57069,57608,19394,2500,1815,657,1000,0
500000,29,367965,412023,445007,542653,55000,40000,38000,20239,0
100000,23,11876,380,601,221,380,601,0,581,0
140000,28,11285,14096,12108,12211,3329,0,432,1000,0
20000,35,0,0,0,0,0,0,0,13007,0
200000,34,11073,9787,5535,2513,2306,12,50,300,0
260000,51,12261,21670,9966,8517,21818,9966,8583,22301,0
630000,41,12137,6500,6500,6500,1000,6500,6500,6500,0
70000,30,65802,67369,65701,66782,3200,0,3000,3000,1
250000,29,70887,67060,63561,59696,3000,3000,3000,3000,0
50000,23,50614,29173,28116,28771,0,1500,1100,1200,0
20000,24,15376,18010,17428,18338,3200,0,1500,0,1
320000,49,253286,246536,194663,70074,10358,10000,75940,20000,0
360000,49,0,0,0,0,0,0,0,0,0
180000,29,0,0,0,0,0,0,0,0,0
130000,39,38358,27688,24489,20616,3000,1537,1000,2000,0
120000,39,316,316,316,0,316,316,0,632,1
70000,26,41087,42445,45020,44006,2007,3582,0,3601,1
450000,40,5512,19420,1473,560,19428,1473,560,0,1
90000,23,4744,7070,0,5398,5757,0,5398,1200,0
50000,23,47620,41810,36023,28967,1973,1426,1001,1432,0
60000,27,-109,-425,259,-57,0,1000,0,500,1
50000,30,22541,16138,17163,17878,1300,1300,1000,1500,0
50000,47,650,3415,3416,2040,3415,3421,2044,30430,0
50000,26,15329,16575,17496,17907,1500,1500,1000,1000,0
230000,27,16646,17265,13266,15339,17270,13281,15339,14307,0
50000,33,30518,29618,22102,22734,1718,1500,1000,1000,1
100000,32,93036,84071,82880,80958,3023,3511,3302,3204,0
500000,54,10929,4152,22722,7521,4152,22827,7521,71439,0
500000,58,13709,5006,31130,3180,5006,31178,3180,0,0
160000,30,30265,-131,-527,-923,131,396,396,565,0
280000,40,186503,181328,180422,170410,8026,8060,6300,6400,0
60000,22,15054,9806,11068,6026,1500,1518,2043,0,0
50000,25,0,780,0,0,780,0,0,0,1
280000,31,498,9075,4641,9976,9075,0,9976,8000,0
360000,33,218668,221296,206895,628699,10000,7000,6000,188840,0
70000,25,67521,66999,63949,63699,3000,4500,4042,2500,0
10000,22,1877,3184,6003,3576,1500,2927,1000,300,0
140000,37,59504,61544,62925,64280,3000,3000,3000,4000,0
40000,30,18927,21295,25921,25209,3000,5000,0,2000,0
210000,29,0,0,0,0,0,0,0,0,1
20000,22,14028,16484,15800,16341,3000,0,16741,334,1
150000,46,4463,3034,1170,1170,1013,1170,0,0,1
380000,32,22401,21540,15134,32018,21540,15138,24677,11851,0
20000,24,17447,18479,19476,19865,1318,1315,704,928,0
70000,42,37042,36171,38355,39423,0,3100,2000,0,1
100000,43,61559,51163,43824,39619,2000,1606,1500,2000,0
310000,49,13465,7867,7600,11185,7875,7600,11185,3544,0
180000,25,41402,41742,42758,43510,1300,2010,1762,1762,0
150000,29,46224,34993,31434,26518,1600,1718,1049,1500,0
500000,45,1905,3640,162,0,3640,162,0,151,0
180000,34,16386,15793,8441,7142,8500,1500,7500,679,0
180000,34,175886,173440,172308,168608,8083,7296,5253,4814,0
200000,34,1587,1098,782,1166,0,0,700,0,0
400000,29,400134,398857,404205,360199,17000,15029,30000,12000,0
500000,28,22848,23638,18878,14937,1516,1300,1000,1000,1
70000,39,70800,72060,69938,16518,4025,2095,1000,2000,0
50000,29,24987,24300,26591,25865,0,2700,0,2225,1
50000,46,28718,29166,0,0,1000,0,0,0,1
130000,51,99,0,0,0,0,0,0,2353,0
200000,57,152519,148751,144076,8174,0,0,8222,300,1
10000,56,2097,4193,3978,4062,2300,0,150,200,1
210000,30,300,300,1159,2280,300,1159,2280,300,0
130000,29,-190,-9850,-9850,10311,0,0,20161,0,0
20000,22,18565,17204,17285,18085,0,1200,1000,500,0
80000,31,780,0,390,390,0,390,390,390,0
320000,29,58267,59246,60184,58622,2500,2500,0,4800,1
200000,32,9076,5787,-684,5247,5818,15,9102,17,0
290000,37,0,0,3155,0,0,3155,0,2359,0
340000,32,3048,5550,23337,4291,5713,23453,4314,80552,0
20000,24,14619,17216,16642,16976,2850,0,610,630,0
50000,25,42838,37225,36087,9636,1759,1779,320,500,0
300000,45,291,291,291,291,291,291,291,291,0
30000,22,28387,29612,30326,28004,1686,1400,560,3000,1
240000,44,0,0,0,0,0,0,0,0,1
470000,33,165254,157784,162702,69923,6400,7566,3000,960,0
360000,26,23411,27796,30400,33100,4796,3400,3100,146900,0
60000,30,26324,27471,28108,21993,1576,1213,648,768,1
400000,44,131595,139060,126819,104430,10700,3,3050,3000,0
50000,49,48909,47863,21489,20414,1676,1302,700,699,0
160000,33,130028,107808,71934,118418,4400,3547,80000,4500,0
360000,45,390,1170,780,390,1170,0,0,390,1
160000,32,3826,4751,6604,8604,1147,2000,2000,0,0
130000,35,81313,117866,17740,1330,40000,5000,1330,7095,0
20000,44,8583,8303,9651,10488,0,1651,1000,2000,0
200000,53,138180,140774,142460,144098,6300,5500,5500,5500,1
280000,39,7524,0,3968,3868,0,3968,0,0,0
100000,27,-2000,5555,0,0,7555,0,0,0,0
160000,37,880,1602,840,840,1602,840,840,0,0
60000,23,45648,46850,47214,19595,1937,1301,682,690,0
90000,35,83725,85996,87653,35565,3621,3597,1179,1112,0
360000,43,3967,8322,3394,6451,8339,3394,12902,27000,0
150000,27,86009,86108,89006,89775,4031,10006,3266,4040,0
50000,22,18722,18160,16997,13150,1411,1194,379,281,0
20000,38,17973,19367,19559,18240,1699,1460,626,1750,1
140000,32,672,10212,850,415,10212,850,415,100,0
380000,30,-81,-303,32475,32891,223,33178,1171,1197,0
480000,63,422069,431342,479432,487066,16078,55693,17000,0,0
50000,22,44698,42254,38347,32496,1767,1362,1002,840,1
60000,26,56685,55208,59175,60218,0,5000,2511,6,0
70000,24,5580,0,0,0,0,0,0,0,0
80000,36,6108,2861,3277,3319,2861,3279,3319,1150,0
350000,52,713,2272,722,867,2272,722,867,1150,0
130000,38,171438,178382,39940,120483,10908,0,133657,4566,0
360000,35,-103,-103,-103,-103,0,0,0,0,0
330000,31,105879,108431,105594,105896,9260,0,3593,4100,0
50000,47,13244,14722,15181,15928,2000,1000,1000,1000,0
280000,41,135673,138532,134813,144401,6500,0,14254,14850,0
100000,24,52128,52692,54477,56076,2000,2677,3076,5080,0
