Status,Duration,History,Credit amount,Installment rate,Present residence,Age,Existing credits,Number people,label
A11,6.0,A34,1169.0,4.0,4.0,67.0,2.0,1.0,1
A12,48.0,A32,5951.0,2.0,2.0,22.0,1.0,1.0,0
A14,12.0,A34,2096.0,2.0,3.0,49.0,1.0,2.0,1
A11,42.0,A32,7882.0,2.0,4.0,45.0,1.0,2.0,1
A11,24.0,A33,4870.0,3.0,4.0,53.0,2.0,2.0,0
A14,36.0,A32,9055.0,2.0,4.0,35.0,1.0,2.0,1
A14,24.0,A32,2835.0,3.0,4.0,53.0,1.0,1.0,1
A12,36.0,A32,6948.0,2.0,2.0,35.0,1.0,1.0,1
A14,12.0,A32,3059.0,2.0,4.0,61.0,1.0,1.0,1
A12,30.0,A34,5234.0,4.0,2.0,28.0,2.0,1.0,0
A12,12.0,A32,1295.0,3.0,1.0,25.0,1.0,1.0,0
A11,48.0,A32,4308.0,3.0,4.0,24.0,1.0,1.0,0
A12,12.0,A32,1567.0,1.0,1.0,22.0,1.0,1.0,1
A11,24.0,A34,1199.0,4.0,4.0,60.0,2.0,1.0,0
A11,15.0,A32,1403.0,2.0,4.0,28.0,1.0,1.0,1
A11,24.0,A32,1282.0,4.0,2.0,32.0,1.0,1.0,0
A14,24.0,A34,2424.0,4.0,4.0,53.0,2.0,1.0,1
A11,30.0,A30,8072.0,2.0,3.0,25.0,3.0,1.0,1
A12,24.0,A32,12579.0,4.0,2.0,44.0,1.0,1.0,0
A14,24.0,A32,3430.0,3.0,2.0,31.0,1.0,2.0,1
A14,9.0,A34,2134.0,4.0,4.0,48.0,3.0,1.0,1
A11,6.0,A32,2647.0,2.0,3.0,44.0,1.0,2.0,1
A11,10.0,A34,2241.0,1.0,3.0,48.0,2.0,2.0,1
A12,12.0,A34,1804.0,3.0,4.0,44.0,1.0,1.0,1
A14,10.0,A34,2069.0,2.0,1.0,26.0,2.0,1.0,1
A11,6.0,A32,1374.0,1.0,2.0,36.0,1.0,1.0,1
A14,6.0,A30,426.0,4.0,4.0,39.0,1.0,1.0,1
A13,12.0,A31,409.0,3.0,3.0,42.0,2.0,1.0,1
A12,7.0,A32,2415.0,3.0,2.0,34.0,1.0,1.0,1
A11,60.0,A33,6836.0,3.0,4.0,63.0,2.0,1.0,0
A12,18.0,A32,1913.0,3.0,3.0,36.0,1.0,1.0,1
A11,24.0,A32,4020.0,2.0,2.0,27.0,1.0,1.0,1
A12,18.0,A32,5866.0,2.0,2.0,30.0,2.0,1.0,1
A14,12.0,A34,1264.0,4.0,4.0,57.0,1.0,1.0,1
A13,12.0,A32,1474.0,4.0,1.0,33.0,1.0,1.0,1
A12,45.0,A34,4746.0,4.0,2.0,25.0,2.0,1.0,0
A14,48.0,A34,6110.0,1.0,3.0,31.0,1.0,1.0,1
A13,18.0,A32,2100.0,4.0,2.0,37.0,1.0,1.0,0
A13,10.0,A32,1225.0,2.0,2.0,37.0,1.0,1.0,1
A12,9.0,A32,458.0,4.0,3.0,24.0,1.0,1.0,1
A14,30.0,A32,2333.0,4.0,2.0,30.0,1.0,1.0,1
A12,12.0,A32,1158.0,3.0,1.0,26.0,1.0,1.0,1
A12,18.0,A33,6204.0,2.0,4.0,44.0,1.0,2.0,1
A11,30.0,A34,6187.0,1.0,4.0,24.0,2.0,1.0,1
A11,48.0,A34,6143.0,4.0,4.0,58.0,2.0,1.0,0
A14,11.0,A34,1393.0,4.0,4.0,35.0,2.0,1.0,1
A14,36.0,A32,2299.0,4.0,4.0,39.0,1.0,1.0,1
A11,6.0,A32,1352.0,1.0,2.0,23.0,1.0,1.0,1
A14,11.0,A34,7228.0,1.0,4.0,39.0,2.0,1.0,1
A14,12.0,A32,2073.0,4.0,2.0,28.0,1.0,1.0,1
A12,24.0,A33,2333.0,4.0,2.0,29.0,1.0,1.0,1
A12,27.0,A33,5965.0,1.0,2.0,30.0,2.0,1.0,1
A14,12.0,A32,1262.0,3.0,2.0,25.0,1.0,1.0,1
A14,18.0,A32,3378.0,2.0,1.0,31.0,1.0,1.0,1
A12,36.0,A33,2225.0,4.0,4.0,57.0,2.0,1.0,0
A14,6.0,A31,783.0,1.0,2.0,26.0,1.0,2.0,1
A12,12.0,A32,6468.0,2.0,1.0,52.0,1.0,1.0,0
A14,36.0,A34,9566.0,2.0,2.0,31.0,2.0,1.0,1
A13,18.0,A32,1961.0,3.0,2.0,23.0,1.0,1.0,1
A11,36.0,A34,6229.0,4.0,4.0,23.0,2.0,1.0,0
A12,9.0,A32,1391.0,2.0,1.0,27.0,1.0,1.0,1
A12,15.0,A34,1537.0,4.0,4.0,50.0,2.0,1.0,1
A12,36.0,A30,1953.0,4.0,4.0,61.0,1.0,1.0,0
A12,48.0,A30,14421.0,2.0,2.0,25.0,1.0,1.0,0
A14,24.0,A32,3181.0,4.0,4.0,26.0,1.0,1.0,1
A14,27.0,A32,5190.0,4.0,4.0,48.0,4.0,2.0,1
A14,12.0,A32,2171.0,2.0,2.0,29.0,1.0,1.0,1
A12,12.0,A32,1007.0,4.0,1.0,22.0,1.0,1.0,1
A14,36.0,A32,1819.0,4.0,4.0,37.0,1.0,1.0,0
A14,36.0,A32,2394.0,4.0,4.0,25.0,1.0,1.0,1
A14,36.0,A32,8133.0,1.0,2.0,30.0,1.0,1.0,1
A14,7.0,A34,730.0,4.0,2.0,46.0,2.0,1.0,1
A11,8.0,A34,1164.0,3.0,4.0,51.0,2.0,2.0,1
A12,42.0,A34,5954.0,2.0,1.0,41.0,2.0,1.0,1
A11,36.0,A32,1977.0,4.0,4.0,40.0,1.0,1.0,0
A11,12.0,A34,1526.0,4.0,4.0,66.0,2.0,1.0,1
A11,42.0,A32,3965.0,4.0,3.0,34.0,1.0,1.0,0
A12,11.0,A33,4771.0,2.0,4.0,51.0,1.0,1.0,1
A14,54.0,A30,9436.0,2.0,2.0,39.0,1.0,2.0,1
A12,30.0,A32,3832.0,2.0,1.0,22.0,1.0,1.0,1
A14,24.0,A32,5943.0,1.0,1.0,44.0,2.0,1.0,0
A14,15.0,A32,1213.0,4.0,3.0,47.0,1.0,1.0,1
A14,18.0,A32,1568.0,3.0,4.0,24.0,1.0,1.0,1
A11,24.0,A32,1755.0,4.0,4.0,58.0,1.0,1.0,1
A11,10.0,A32,2315.0,3.0,4.0,52.0,1.0,1.0,1
A14,12.0,A34,1412.0,4.0,2.0,29.0,2.0,1.0,1
A12,18.0,A34,1295.0,4.0,1.0,27.0,2.0,1.0,1
A12,36.0,A32,12612.0,1.0,4.0,47.0,1.0,2.0,0
A11,18.0,A32,2249.0,4.0,3.0,30.0,1.0,2.0,1
A11,12.0,A30,1108.0,4.0,3.0,28.0,2.0,1.0,0
A14,12.0,A34,618.0,4.0,4.0,56.0,1.0,1.0,1
A11,12.0,A34,1409.0,4.0,3.0,54.0,1.0,1.0,1
A14,12.0,A34,797.0,4.0,3.0,33.0,1.0,2.0,0
A13,24.0,A34,3617.0,4.0,4.0,20.0,2.0,1.0,1
A12,12.0,A32,1318.0,4.0,4.0,54.0,1.0,1.0,1
A12,54.0,A30,15945.0,3.0,4.0,58.0,1.0,1.0,0
A14,12.0,A34,2012.0,4.0,2.0,61.0,1.0,1.0,1
A12,18.0,A32,2622.0,4.0,4.0,34.0,1.0,1.0,1
A12,36.0,A34,2337.0,4.0,4.0,36.0,1.0,1.0,1
A12,20.0,A33,7057.0,3.0,4.0,36.0,2.0,2.0,1
A14,24.0,A32,1469.0,4.0,4.0,41.0,1.0,1.0,1
A12,36.0,A32,2323.0,4.0,4.0,24.0,1.0,1.0,1
A14,6.0,A33,932.0,3.0,2.0,24.0,1.0,1.0,1
A12,9.0,A34,1919.0,4.0,3.0,35.0,1.0,1.0,1
A14,12.0,A32,2445.0,2.0,4.0,26.0,1.0,1.0,1
A12,24.0,A34,11938.0,2.0,3.0,39.0,2.0,2.0,0
A14,18.0,A31,6458.0,2.0,4.0,39.0,2.0,2.0,0
A12,12.0,A32,6078.0,2.0,2.0,32.0,1.0,1.0,1
A11,24.0,A32,7721.0,1.0,2.0,30.0,1.0,1.0,1
A12,14.0,A32,1410.0,1.0,2.0,35.0,1.0,1.0,1
A12,6.0,A33,1449.0,1.0,2.0,31.0,2.0,2.0,1
A13,15.0,A32,392.0,4.0,4.0,23.0,1.0,1.0,1
A12,18.0,A32,6260.0,3.0,3.0,28.0,1.0,1.0,1
A14,36.0,A34,7855.0,4.0,2.0,25.0,2.0,1.0,0
A11,12.0,A32,1680.0,3.0,1.0,35.0,1.0,1.0,1
A14,48.0,A34,3578.0,4.0,1.0,47.0,1.0,1.0,1
A11,42.0,A32,7174.0,4.0,3.0,30.0,1.0,1.0,0
A11,10.0,A34,2132.0,2.0,3.0,27.0,2.0,1.0,1
A11,33.0,A34,4281.0,1.0,4.0,23.0,2.0,1.0,0
A12,12.0,A34,2366.0,3.0,3.0,36.0,1.0,1.0,1
A11,21.0,A32,1835.0,3.0,2.0,25.0,2.0,1.0,0
A14,24.0,A34,3868.0,4.0,2.0,41.0,2.0,1.0,1
A14,12.0,A32,1768.0,3.0,2.0,24.0,1.0,1.0,1
A13,10.0,A34,781.0,4.0,4.0,63.0,2.0,1.0,1
A12,18.0,A32,1924.0,4.0,3.0,27.0,1.0,1.0,0
A11,12.0,A34,2121.0,4.0,2.0,30.0,2.0,1.0,1
A11,12.0,A32,701.0,4.0,2.0,40.0,1.0,1.0,1
A12,12.0,A32,639.0,4.0,2.0,30.0,1.0,1.0,0
A12,12.0,A34,1860.0,4.0,2.0,34.0,2.0,1.0,1
A11,12.0,A34,3499.0,3.0,2.0,29.0,2.0,1.0,0
A12,48.0,A32,8487.0,1.0,2.0,24.0,1.0,1.0,1
A11,36.0,A33,6887.0,4.0,3.0,29.0,1.0,1.0,0
A14,15.0,A32,2708.0,2.0,3.0,27.0,2.0,1.0,1
A14,18.0,A32,1984.0,4.0,4.0,47.0,2.0,1.0,1
A14,60.0,A32,10144.0,2.0,4.0,21.0,1.0,1.0,1
A14,12.0,A34,1240.0,4.0,2.0,38.0,2.0,1.0,1
A14,27.0,A33,8613.0,2.0,2.0,27.0,2.0,1.0,1
A12,12.0,A32,766.0,4.0,3.0,66.0,1.0,1.0,0
A12,15.0,A34,2728.0,4.0,2.0,35.0,3.0,1.0,1
A13,12.0,A32,1881.0,2.0,2.0,44.0,1.0,1.0,1
A13,6.0,A32,709.0,2.0,2.0,27.0,1.0,1.0,1
A12,36.0,A32,4795.0,4.0,1.0,30.0,1.0,1.0,1
A11,27.0,A32,3416.0,3.0,2.0,27.0,1.0,1.0,1
A11,18.0,A32,2462.0,2.0,2.0,22.0,1.0,1.0,0
A14,21.0,A34,2288.0,4.0,4.0,23.0,1.0,1.0,1
A12,48.0,A31,3566.0,4.0,2.0,30.0,1.0,1.0,1
A11,6.0,A34,860.0,1.0,4.0,39.0,2.0,1.0,1
A14,12.0,A34,682.0,4.0,3.0,51.0,2.0,1.0,1
A11,36.0,A34,5371.0,3.0,2.0,28.0,2.0,1.0,1
A14,18.0,A34,1582.0,4.0,4.0,46.0,2.0,1.0,1
A14,6.0,A32,1346.0,2.0,4.0,42.0,1.0,2.0,1
A14,10.0,A32,1924.0,1.0,4.0,38.0,1.0,1.0,1
A13,36.0,A32,5848.0,4.0,1.0,24.0,1.0,1.0,1
A12,24.0,A34,7758.0,2.0,4.0,29.0,1.0,1.0,1
A12,24.0,A33,6967.0,4.0,4.0,36.0,1.0,1.0,1
A11,12.0,A32,1282.0,2.0,4.0,20.0,1.0,1.0,0
A11,9.0,A34,1288.0,3.0,4.0,48.0,2.0,2.0,1
A11,12.0,A31,339.0,4.0,1.0,45.0,1.0,1.0,1
A12,24.0,A32,3512.0,2.0,3.0,38.0,2.0,1.0,1
A14,6.0,A34,1898.0,1.0,2.0,34.0,2.0,2.0,1
A14,24.0,A34,2872.0,3.0,4.0,36.0,1.0,2.0,1
A14,18.0,A34,1055.0,4.0,1.0,30.0,2.0,1.0,1
A14,15.0,A32,1262.0,4.0,3.0,36.0,2.0,1.0,1
A12,10.0,A32,7308.0,2.0,4.0,70.0,1.0,1.0,1
A14,36.0,A32,909.0,4.0,4.0,36.0,1.0,1.0,1
A14,6.0,A32,2978.0,1.0,2.0,32.0,1.0,1.0,1
A11,18.0,A32,1131.0,4.0,2.0,33.0,1.0,1.0,0
A12,11.0,A32,1577.0,4.0,1.0,20.0,1.0,1.0,1
A14,24.0,A32,3972.0,2.0,4.0,25.0,1.0,1.0,1
A12,24.0,A34,1935.0,4.0,4.0,31.0,2.0,1.0,0
A11,15.0,A30,950.0,4.0,3.0,33.0,2.0,2.0,0
A14,12.0,A32,763.0,4.0,1.0,26.0,1.0,1.0,1
A12,24.0,A33,2064.0,3.0,2.0,34.0,1.0,1.0,0
A12,8.0,A32,1414.0,4.0,2.0,33.0,1.0,1.0,1
A11,21.0,A33,3414.0,2.0,1.0,26.0,2.0,1.0,0
A14,30.0,A31,7485.0,4.0,1.0,53.0,1.0,1.0,0
A11,12.0,A32,2577.0,2.0,1.0,42.0,1.0,1.0,1
