Selected,LoanNr_ChkDgt,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,DisbursementDate,DisbursementGross,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx,Default
0,1004285007,532420,15074,2001,36,1,1.0,0,0,1,0,15095.0,32812,0,30000,15000,0,0,0.5,0,1080,16175.0,0
1,1004535010,531210,15130,2001,56,1,1.0,0,0,1,0,15978.0,30000,0,30000,15000,0,0,0.5,1,1680,17658.0,0
0,1005005006,531210,15188,2001,36,10,1.0,0,0,1,0,15218.0,30000,0,30000,15000,0,0,0.5,0,1080,16298.0,0
1,1005535001,531312,15719,2003,36,6,1.0,0,0,1,0,15736.0,50000,0,50000,25000,0,0,0.5,0,1080,16816.0,0
1,1005996006,531390,16840,2006,240,65,1.0,3,65,1,1,16903.0,343000,0,343000,343000,0,1,1.0,0,7200,24103.0,0
1,1006295003,531210,15813,2003,84,1,1.0,0,0,1,0,15825.0,55825,0,50000,25000,0,0,0.5,0,2520,18345.0,0
0,1015066002,531210,16841,2006,269,2,1.0,0,2,1,1,16860.0,297500,247074,297500,223125,0,1,0.75,0,8070,24930.0,1
0,1015266003,531210,16841,2006,84,1,2.0,2,1,1,2,16860.0,67047,0,30000,15000,1,0,0.5,0,2520,19380.0,0
0,1018975003,531390,16252,2004,22,5,1.0,0,0,1,1,16283.0,50000,35333,50000,25000,0,0,0.5,0,660,16943.0,1
1,1022515008,531320,16264,2004,84,4,2.0,0,0,1,1,16314.0,17500,0,10000,5000,1,0,0.5,0,2520,18834.0,0
1,1030805001,532299,16281,2004,64,6,1.0,0,0,1,1,16314.0,50000,47211,50000,25000,0,0,0.5,0,1920,18234.0,1
1,1033135007,531312,16286,2004,84,1,1.0,0,0,1,1,16314.0,17536,0,14000,7000,0,0,0.5,0,2520,18834.0,0
0,1035365010,531311,16289,2004,84,12,1.0,0,0,1,1,16314.0,33276,0,25000,12500,0,0,0.5,0,2520,18834.0,0
1,1038956001,531210,16846,2006,76,2,2.0,0,2,1,2,16921.0,30000,29700,30000,15000,1,0,0.5,0,2280,19201.0,1
1,1039435004,531312,16295,2004,60,8,1.0,0,0,1,1,16314.0,30502,0,30000,15000,0,0,0.5,0,1800,18114.0,0
1,1040106003,531210,16847,2006,60,13,2.0,7,20,1,1,17225.0,25000,0,25000,12500,1,0,0.5,0,1800,19025.0,0
1,1040115010,531210,16296,2004,84,1,1.0,0,0,1,1,16314.0,20000,0,20000,10000,0,0,0.5,0,2520,18834.0,0
0,1041204008,532111,13590,1997,300,15,1.0,0,0,1,0,13634.0,1000000,0,1000000,750000,0,1,0.75,0,9000,22634.0,0
1,1045135004,531210,16306,2004,38,2,2.0,0,0,1,1,16314.0,10097,9709,10000,5000,1,0,0.5,0,1140,17454.0,1
1,1046615008,532299,16307,2004,84,22,1.0,0,0,1,1,16344.0,10000,0,10000,5000,0,0,0.5,0,2520,18864.0,0
1,1048786002,531210,16848,2006,240,13,1.0,8,0,1,1,16994.0,79000,0,79000,79000,0,1,1.0,0,7200,24194.0,0
